"INSTITUCIONET E ARSIMIT
 TE LARTE PUBLIK",FAKULTETI,ID E PROGRAMIT TË  STUDIMIT ,"EMERTIMI I PROGRAMIT
 TË  STUDIMIT ",INDEKSI I PROFILIT,LLOJI SHKOLLES,KOEFICIENTET
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,1,GJIMNAZ,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,2,GJIMNAZ ME KOHË TË SHKURTUAR,1.1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,5,SEKSION DY GJUHËSH SHQIP-GJERMANISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,6,GJIMNAZ GJUHËSOR,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,7,SHKOLLË ARTISTIKE/KOREOGRAFIKE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,8,SHKOLLË SPORTIVE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,9,SHKOLLË PEDAGOGJIKE,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,10,HOTELERI-TURIZËM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,11,SHËRBIME MJETESH TRANSPORTI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,12,MEKANIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,13,ELEKTROTEKNIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,14,ELEKTRONIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,15,PËRPUNIM DRURI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,16,NDËRTIM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,17,TEKSTIL-KONFEKSIONE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,18,TEKNOLOGJI USHQIMORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,19,BUJQËSI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,20,SHËRBIME SOCIALE DHE SHËNDETSORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,21,VETERINARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,22,GJEODEZI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,23,INSTALUES I SISTEMEVE TERMOHIDRAULIKE ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,24,LLOGARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,25,SHËRBIME BANKARE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,26,ADMINSITRIM BIZNESI ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,27,RRJETE TË DHËNASH,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,28,MBËSHTETJE E PËRDORUESVE TË TIK,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,29,ELEKTRONIK NË TEKNOLOGJINË E AUTOMATIZIMIT ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,30,SILVIKULTURË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,31,"HARRY FULTZ, BIZNES",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,32,"HARRY FULTZ, ELEKTRONIKË",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,33,"HARRY FULTZ, AUTOMEKANIK",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,34,PETER MAHRINGER TEKNOLOGJI INFORMACIONI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,005, Arkeologji dhe Trashëgimi kulturore ,35,PROFILI IM S'ËSHTË NË LISTË,1
UNIVERSITETI I TIRANËS,FAKULTETI I SHKENCAVE NATYRORE,006, Biologji ,1,GJIMNAZ,1.4
UNIVERSITETI I TIRANËS,FAKULTETI I SHKENCAVE NATYRORE,006, Biologji ,2,GJIMNAZ ME KOHË TË SHKURTUAR,1.2
UNIVERSITETI I TIRANËS,FAKULTETI I SHKENCAVE NATYRORE,006, Biologji ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI I SHKENCAVE NATYRORE,006, Biologji ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
